"rank","slug","source","n_jobs","top_titles","sample_description","industry","confidence"
"629","viskou-technology-sdn-bhd","jobstreet","20","Human Resource Executive (Puchong/JB) | Technical Engineer (Puchong/KK/JB)(Fresh Grad/Experienced) | Finance Assistant (JB/Puchong) | Sales Admin Assistant 销售行政助理 (Puchong/JB/Penang) | Procurement Executive","[Category: Manufacturing, Transport & Logistics / Purchasing, Procurement & Inventory] Responsibility: · Process day-to-day sourcing, purchasing and inventory planning activities.with focus on reducing cost or minimize price increase without compromising quality and compliance to sourcing guidelines. · Coordinate with vendors to ensure on-time delivery of products. · Co-ordinate with Finance depar","consulting_professional_services","medium"
"630","wangsa-delima-sdn-bhd","jobstreet","20","Plumber | Environmental Officer | Quality Officer | Customer Care Executive | Public Relations Officer","[Category: Engineering / Supervisors] Description Job description 1) To supervise the day to day operations of the building in accordance with policies, procedures and standing orders issued by the Facility Manager/Management 2) To supervise and maintain the operations of all electrical installations including operation of the standby generator and air-conditioning systems in the building in accor","real_estate_construction","medium"
"631","warisan-tc-holdings-bhd","jobstreet","20","IT BUSINESS ANALYST (GOVERNANCE) | Group Risk Management Manager | Finance & Administration Officer | Finance & Administration Internship | Sales Executive - Johor","[Category: Marketing & Communications / Marketing Communications] Job Responsibilities To assist the Head of Marketing in implementing the company’s annual marketing plan. Responsible in managing marketing and branding for selected brands / products and work closely with Advertising Agency, Product Planning, Sales Planning, Suppliers and etc. to develop a 360 marketing communication strategy plan ","other","low"
"632","wecaredailyclinicscareers","greenhouse","20","Care Navigator | Certified Medical Assistant - North Seattle | Certified Medical Assistant - Site Rotation | Certified Peer Support Specialist - Mobile Clinic | Certified Peer Support Specialist - North Seattle","Job Title : Care Navigator Location : Auburn Clinic Reports to : Member Experience Manager Pay: $28/hour.&nbsp; About We Care Daily Clinics: Join Our Mission! &nbsp; We Care Daily Clinics (WCDC) is a warm, welcoming, and modern facility that provides treatment for addiction in a person-centered environment located in Auburn. WCDC seeks to renew hope and purpose for those battling opioid use by rem","healthcare_provider","high"
"633","weights_and_biases","greenhouse","20","AI Customer Support Engineer, Tier I - W&B EMEA | AI Customer Support Engineer, Tier I - Weights & Biases | AI Engineer Researcher - Weights & Biases | Customer Support Engineer - Tier 3 - Weights & Biases | Director of Product Management, W&B Weave (AI Agents & Evaluation Platform)- W&B","CoreWeave, the AI Hyperscaler™, acquired Weights &amp; Biases to create the most powerful end-to-end platform to develop, deploy, and iterate AI faster. Since 2017, CoreWeave has operated a growing footprint of data centers covering every region of the US and across Europe, and was ranked as one of the TIME100 most influential companies of 2024. By bringing together CoreWeave’s industry-leading cl","tech_software_internet","high"
"634","winamax","lever","20","Agentes de Atención al Cliente para España (H/M) | Chargé de Relation Clients (H/F) | Chargé de validation de comptes (H/F) | Community Manager de Poker - Portugal (H/M) - Based in Paris | Customer Support Officer (M/F/D) - German Speaking - Based in Paris","Basés en plein cœur de Paris, nous faisons bouger l’industrie des jeux en ligne. Leader du poker et des paris sportifs en France avec 350 000 joueurs et 600 000 parieurs mensuels, nous sommes présents en Espagne, en Allemagne et bientôt en Italie et au Portugal. Nous offrons à nos joueurs une expérience exceptionnelle, à la fois technique, créative et qualitative. Innovation, unité et appartenance","gaming","high"
"635","winrock","greenhouse","20","Accountant – Audit Manager (WEECAP) | Associate Director, Development, Institutional Giving | Chief of Party, USDA-Funded Food for Progress | COMMUNICATION OFFICER (Weecap Senegal) | Director, US Agriculture","&nbsp; POSITION TITLE: Project Director LOCATION: Jakarta or Makassar, Indonesia REPORTS TO: Portfolio Director, Human Rights Winrock International is a nonprofit organization that works with people in the United States and around the world to empower the disadvantaged, increase economic opportunity, and sustain natural resources. Winrock has a long work history of addressing environmental, econom","nonprofit","high"
"636","wmg","lever","20",".NET Software Engineer | Associate IT Support Analyst | Data Scientist | Enterprise Systems Engineer | Forward Deployed Engineer, Data & AI","At Warner Music Group, we’re a global collective of music makers and music lovers, tech innovators and inspired entrepreneurs, game-changing creatives and passionate team members. Here, we turn dreams into stardom and audiences into fans. We are guided by three core values that underpin everything we do across all our diverse businesses: • Curiosity: We do our best work when we’re immersing oursel","media_entertainment","high"
"637","workwize","greenhouse","20","Account Executive (English-speaking) | Account Executive (SaaS, Medior) | AI Product Manager | Business Development Representative DACH | Catalog and Listing Specialist","Please&nbsp;apply&nbsp;only&nbsp;if&nbsp;you&nbsp;are&nbsp;located&nbsp;within&nbsp;a&nbsp;maximum&nbsp;of&nbsp;3&nbsp;hours&nbsp;time&nbsp;difference&nbsp;from&nbsp;the&nbsp;Netherlands&nbsp;(CET).&nbsp;Applications&nbsp;outside&nbsp;this&nbsp;range&nbsp;will&nbsp;not&nbsp;be&nbsp;considered. Please&nbsp;note,&nbsp;we&nbsp;don’t&nbsp;offer&nbsp;relocation&nbsp;for&nbsp;this&nbsp;position. At Work","tech_software_internet","high"
"638","worley","linkedin","20","Project Control Manager | Overhead Door Tech - (Rotational Schedule) – Prudhoe Bay, AK | Welder Helper - (Construction) - Anchorage Fab Shop, AK | Ironworker | Pipefitter Foreperson","Building on our past. Ready for the future Worley is a global professional services company of energy, chemicals and resources experts headquartered in Australia. Right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals and resources that society needs now. We partner with our customers to deliver projects a","consulting_professional_services","high"
"639","xepelin","lever","20","Account Executive Pyme | Analista de cobranza | Analista de Conciliaciones | BizOps & Strategy Associate | Brand Design Associate","🚀 ¿Por qué trabajar en Xepelin? Xepelin está transformando las finanzas empresariales en Latinoamérica con una suite de productos que automatizan la gestión financiera y facilitan el acceso a liquidez. Con el objetivo de convertirse en el CFO digital de todo negocio, ha desarrollado tecnología financiera que impacta en todo el ecosistema empresarial. Gracias a la data obtenida por la interacción d","finance_fintech","high"
"640","xylem","linkedin","20","Supplier Quality Process Engineer | Crew Chief | Customer Experience Specialist | Quality Engineer - Incoming Product | Applications Engineer (Pumps)","Description We’re Hiring a Crew Chief! If you are excited and passionate about helping #LetsSolveWater, consider joining our team today! Xylem, Inc. is a leading global water technology company servicing more than 150 countries and is dedicated to solving the world’s most challenging water issues. We are looking for individuals to join our mission by exceeding customer expectations through smart s","manufacturing","high"
"641","ztek-consulting","linkedin","20","OneStream Consultant | Graphic Designer | Application reviewer | Desktop Support Specialist | MySQL Architect","Hello , Hope you are doing great !! Please have a look at the job description below and let me know your interest. Job Title: Commodity ManagerLocation: Atlanta, GA 30354Duration: 12 MonthsClient: $$$$$$$$$$$Pay Rate: $62 per Hour on w2 + Benefits. JOB QUALIFICATIONS:• Bachelor’s degree in business, Supply Chain Management, Finance, or other closely related field strongly preferred but not require","consulting_professional_services","high"
"642","abercrombie-fitch-co","linkedin","19","Abercrombie & Fitch - Brand Representative, Christiana | Abercrombie & Fitch - Assistant Manager, Christiana | Abercrombie & Fitch - Key Holder, Christiana | Abercrombie & Fitch - Assistant Manager, Somerset North | IT Service Desk Specialist","Company Description Job Description Merchandising is the central function setting the course for our brands’ product; the hub of the wheel that ensures all teams are moving in the right direction to deliver a beautiful, compelling and profitable assortment. Working hand-in-hand with our design, visual, and planning teams, merchants are the bridge between the strategy and creative direction of thei","retail_ecommerce","high"
"643","acl-digital","linkedin","19","Quality Assurance Specialist | Engineer/Cell Culture | Receptionist | Microservice / Cloud Architecture | Senior Dotnet Developer","Title:: Software Engineer – Senior (Okta Identity Engineer)Location:: San Diego, CA (San Diego, CA (Hybrid, onsite a few times a month or as needed)Type of Hire:: Contract (w2) Job Description:The client is searching for a highly competent and experienced candidate who has exceptional skills in migrating applications to SAML2.0 or OIDC authentication (using Okta as IDaaS). The ideal candidate is f","consulting_professional_services","high"
"644","acuren","linkedin","19","NDT Assistant - Entry Level, Rapid Growth | District Manager | NDT Level II Technician II - Duluth, MN | NDT Level II Technician in the New Orleans Area! | NDT Specialist - Eddy Current","Acuren is currently recruiting for a API 510/570. Responsibilities At the direction of client, perform visual and non-destructive examination of static and dynamic pressure retaining equipment in accordance with American Petroleum Institute (API) standards and the American Society of Mechanical Engineers (ASME) Submit to client technically accurate reports documenting equipment condition Provide c","consulting_professional_services","high"
"645","adm","linkedin","19","Process Engineer - East Plant - Decatur, IL | TVP Shift Supervisor (6P-6A) – Decatur East Plant, IL | Grain Grader – Marston, MO | Sr. Digital Marketing Manager - Chicago, IL or Oakbrook, IL | Global Director, Digital Marketing - Remote","Value Stream Lead - Decatur, IL This is a full-time, exempt level position. Job Summary The goal of the Value Stream Management team is to support improvement of Business Process Management across the enterprise and drive performance improvement within Global Technology and across IT programs. To accomplish this goal, we are focused on: a) improving visibility to current state performance, b) appl","agriculture_food_production","high"
"646","aimic-inc","linkedin","19","Litigation Paralegal | Administrative Assistant | Legal Assistant | Architectural Intern | Administrative Specialist","Job Title: Microbiologist Antibiotic Resistance Team - 731879Location : 550 W 16th St Ste B Marion County, Indianapolis, IN 46202Pay Rate: $31.14/ HourDuration : 8+ MonthsAgency Interview Type: Phone and in-personNote : This is a 8+ -month assignment with a High probability of extension if performance is satisfactory.JOB DESCRIPTION: This position is part of the Indiana Department of Health Labora","consulting_professional_services","high"
"647","ajccanada","lever","19","Associé(e) à la vente au détail | Baker | Boulanger(e) | Cook | Cuisinier/aide-cuisinier","Les serveurs au comptoir sont responsables de la préparation et du service des aliments, ainsi que du nettoyage et de l'agencement des tables de travail et des outils de la cuisine. Ils chauffent et terminent la cuisson d'aliments simples, servent les clients aux comptoirs alimentaires et effectuent diverses autres activités pour aider les travailleurs qui préparent ou servent des aliments et des ","hospitality_food_service","high"
"648","ajulia-executive-search","linkedin","19","Senior Staff Accountant | Class A CDL Truck Driver | Manufacturing Engineer | Controller | Quality System Manager","Clinical Manager - Behavioral Health Services - Inpatient UnitTiming : 8am – 4:30pm ResponsibilitiesSupports the Nursing Director in performing routine and complex activities that support department operations. The primary functions of the position include clinical and operational oversight of the social work, crisis services and program staff. The Manager ensures all clinical services provided me","consulting_professional_services","high"
"649","allarahealth","ashby","19","1099 Telemedicine Nurse Practitioner | Flexible Schedule | 1099 Telemedicine Gynecologist | Flexible Schedule | 1099 Telemedicine Endocrinologist | Flexible Schedule | Staff Software Engineer | 1099 Telemedicine Gynecologist | Fridays & Weekends","Allara is a comprehensive women’s health provider that specializes in expert, longitudinal care that supports women through every life stage. Trusted by over 60,000 women nationwide, Allara makes expert healthcare accessible by connecting patients with multidisciplinary care teams that have a deep understanding of hormonal, metabolic, and reproductive care. Allara provides ongoing support for horm","healthcare_provider","high"
"650","alpacahealth","ashby","19","Physician Liaison | Referral Partnerships Manager | Customer Success Manager | General Interest | Content & Community Marketing Manager","📌 About Alpaca Health Alpaca Health enables clinicians to become entrepreneurs, starting in autism care. We help clinicians launch and scale their own clinics by providing AI-powered software, payer contracting, and full back-office infrastructure. Our goal is simple: shift power in healthcare away from large consolidated entities and back to clinicians. We've raised over $14M in funding from earl","healthcare_provider","medium"
"651","array","greenhouse","19","Account Executive | Account Executive, Partnerships | Account Manager | Channel Manager, Digital Banking Partners | Chief of Staff","Array is a financial innovation platform that helps digital brands, financial institutions, and fintechs get compelling consumer products to market faster. We deliver a suite of credit and identity monitoring tools, privacy protection, and a financial ads marketplace via embeddable widgets or a clean, modern API.&nbsp; Our private label offerings help drive revenue and increase engagement for our ","finance_fintech","high"
"652","arundellodge","lever","19","Assistant Senior Program Manager | Bay Ridge Program Manager | Billing Specialist Lead | Care Coordinator - Senior Program Monday - Friday 6am to 2pm with rotating weeke | Care Coordinator - Senior Program- Monday-Friday 2 PM - 10 PM with rotating week","Arundel Lodge is a non-profit organization that works toward a world where behavioral health disorders are not a limit to achieving a meaningful life in the community. We envision being an essential member of a community network that helps prevent behavioral health disorders and provides the care and support people need to lead healthy, productive lives. What is Supported Employment? A partnership","nonprofit","high"
"653","aspora","ashby","19","Senior iOS Engineer | Staff Engineer | Product Manager | Treasury Operations or Treasury Operator | FX Trader","About Aspora People on the move deserve a bank that moves with them. Since 2022, Aspora has been building a borderless financial operating system that makes money as mobile and transparent as its users. Backed by influential venture capitalists like Sequoia Capital, Greylock Partners, Hummingbird Ventures, Y Combinator & Global Founders Capital. We're a team of 150+ across India, the UK, the UAE, ","finance_fintech","high"
"654","atbayjobs","greenhouse","19","Actuarial Manager, Pricing | Actuary / Senior Actuary | Actuary / Senior Actuary (Remote) | AVP, Cyber Underwriter (Retail) | Business Development Representative","&nbsp; Actuary / Senior Actuary, Pricing DRIVE PROFITABLE GROWTH FOR THE BUSINESS &nbsp; About At-Bay &nbsp; At-Bay is the world’s first InsurSec provider designed from the ground up to help businesses tackle cyber risk head on. By combining industry-leading insurance with world-class cybersecurity technology, At-Bay offers end-to-end prevention and protection for the digital age. With 98% of cybe","finance_insurance","high"
"655","atlantic-group","linkedin","19","Assistant Controller- Hedge Fund | Front Desk Receptionist | Senior Manager, Accounting | Senior Finance Associate | Accounts Payable Specialist","Role: Senior Tax AnalystFirm: High-Net-Worth Individual Tax Consulting FirmLocation: FiDi, ManhattanHybrid: 3 days in the office and 2 days working from home Responsibilities• Prepare and review federal and state tax returns for high-net-worth individuals with a concentration in NYS and NJ resident filings• Prepare and review federal and state tax returns for partnerships, subchapter S, trusts, gi","consulting_professional_services","high"
"656","bettyjobboard","greenhouse","19","Accounts Payable | Betty CA | AML Operations Expert | Betty CA | Back-end Software Engineer | Compliance Expert (Responsible Gaming) | Betty CA | CRM Manager | Betty CA","&nbsp; About Us: Betty is an innovative entertainment company pioneering at the intersection of real-money online casinos and casual mobile gaming. Betty Canada is a scale up company accredited by the Alcohol and Gaming Commission of Ontario (AGCO) as a B2C operator in February 2023, we've set a new standard in the industry. Our mission is to redefine the online casino experience by offering a uni","gaming","high"
"657","bp-global-business-service-centre-asia","jobstreet","19","Business Process Analyst (SAP FICO) | Senior Specialist, Payroll & Local Delivery (Japanese Speaker) | Statutory Reporting Manager | Power Platform Developer (Power BI/PowerApp/PowerAutomate) | Accounting, Reporting & Control SME","[Category: Legal / Generalists - In-house] We’re establishing a new Legal Solutions Team in Kuala Lumpur (KL), which will be an integral part of the Legal Function and provide defined, structured shared legal services to the bp business. The implementation of the Legal Solutions Team marks the transformation of the legal team structure and will improve the way it delivers legal services, with much","energy_utilities","high"
"658","butterflynetwork","greenhouse","19","Associate Client Success Manager | Associate Project Manager - Enterprise Implementations | Customer Engineering Program Manager - BFLY Embedded | Director, Clinical Ultrasound Operations– Home Services | Director, Value-Based Partnerships - BFLY Home & Community Care","Staff Accountant Company Description Butterfly Network, Inc. (NYSE: BFLY) is driving a digital revolution in ultrasound imaging and sensing with its proprietary Ultrasound-on-Chip™ semiconductor technology and software solutions. Butterfly first proved its technology in the point-of-care ultrasound market – commercializing the world’s first single-probe, whole-body portable ultrasound device, whic","healthcare_devices","high"
"659","byd","greenhouse","19","Business Development/Account Manager (Data Center/System Integration) | Business Operation Specialist - Bilingual Mandarin | Business Program Manager | Business Systems Analyst | Controller","The following description is not intended as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. Management retains the discretion of adding or changing the duties of the position at any time. The Controller will play key roles in providing guidance for accounting, reporting and compliance/controls for Ride Group. The candidate will lead accounting te","automotive","high"
"660","campfire","ashby","19","Account Executive | Implementation Manager | Accounting Solutions Consultant - San Francisco | Create your own | Sales Development Representative","Location: San Francisco (In office 5 days a week) Campfire is building the future of enterprise finance, a modern accounting platform with the power of NetSuite and the ease of QuickBooks. Our reimagined general ledger automates revenue reporting, prepayments, and multi-entity consolidation. Our latest AI functionality, Ember AI, empowers finance teams to draft flux analysis, monthly reporting, an","tech_software_internet","high"
"661","capstone-logistics-llc","linkedin","19","Warehouse Clerk | Forklift Operator | Site Manager | Supervisor | Warehouse Associate","Job Description Shift: 2nd Shift - 3pm Start time Compensation $680 - $750 Fayetteville, TN $680-$750+/weekly 2nd Shift People want to work at Capstone because of our high-performance culture. We build strong relationships, challenge the status quo, work hard to deliver results, and pay it forward in our communities. Through transparency and open lines of communication, we do the right thing and d","transportation_logistics","high"
"662","careersinfood-com","linkedin","19","Director of Procurement | Environmental Health & Sustainability Manager | Sn Accounting Manager | Brand Manager | Territory Account Manager","Summary Reporting to the General Manager, plan, organize, manage and execute liquid egg processing operations for assigned operation. Ensure that machinery and equipment are calibrated and functioning properly. Work through supervisors to train employees on work methods and standard operating procedures. Move employees to the work to ensure efficient functioning of grading and breaking operations.","consulting_professional_services","low"
"663","charterup","greenhouse","19","Account Executive, Enterprise Events | Customer Support Specialist | Customer Support Specialist - Bilingual (English/French) | Customer Support Specialist L2 | Data Analyst","About CharterUP. CharterUP is transforming the $450+ billion group transportation and mobility market with an AI native platform that powers modern charter, shuttle, and emerging autonomous vehicle operations. Trusted by many Fortune 500 companies, CharterUP connects enterprises, institutions, and event organizers to thousands of bus operators nationwide, while increasingly serving as the operatin","transportation_logistics","high"
"664","chery-corporate-malaysia-sdn-bhd","jobstreet","19","HR Executive (Recruitment & Payroll) | Body & Paint Technician (Painter) | Parts Executive | Office Boy cum Driver | Administrative Executive - Automotive Manufacturing","[Category: Information & Communication Technology / Networks & Systems Administration] Chery Motors Since founded, Chery has always taken adhering to technology-driven strategy, creating a vehicle brand with international competitiveness and influence as its corporate vision. Relying on the constant pursuit of technological innovation, Chery has become the first passenger vehicle enterprise in Chi","automotive","high"
"665","china-state-construction-engineering-m-sdn-bhd","jobstreet","19","Site Engineer | Document Controller cum Administrative Assistant | QAQC Engineer (质量员) | Civil Project Development Engineer（技术投标人员） | ALUMINIUM FABRICATION ENGINEER","[Category: Construction / Other] RESPONSIBILITIES To source, research and identify potential vendors, plan and purchase materials according to requirements of site purchase orders. To review purchase requisitions and determine proper purchasing methods in compliance with the purchasing policies and procedures. To compare and evaluate offers from suppliers, negotiate contract terms of agreement, de","real_estate_construction","high"
"666","clarivate","jobstreet","19","IT CMDB Lead Business Process Consultant | Director, Healthcare Custom Content | Senior Strategic Account Manager | Lead Software Engineer (.NET) | Service Operations Senior IP Lead (Onboarding)","We are excited to bring on a new experienced Product Manager to join our team. You will drive the strategic growth, product vision, and continuing market leadership of our data products suite including Syndetics Unbound. You will be a critical part of an experienced, talented, fast-moving cross-departmental team to steer product innovations from concept to reality. If this sounds like an opportuni","tech_software_internet","high"
"667","coca-cola-consolidated","linkedin","19","Full Time Merchandiser | 1st Shift Warehouse Automation Lead | Merchandiser | Forklift Operator II | 1st Shift Raw Materials Coordinator","Requisition ID: 187797 Posting Locations: Little Rock Pay Range: $135.00 - $150.00 , depending on experience Rate Frequency: Daily Click here to view a Day in the Life of our Teammates! Our Secret Ingredient is our Teammates. We offer great rewards , competitive pay , career advancement and growth opportunities . Full Time Teammates are also eligible for: Paid Training Paid Time Off plus paid holi","consumer_brands","high"
"668","convergint","linkedin","19","Banking Service Technician - Physical Security - Baltimore, MD | Installation Supervisor | Project Coordinator - Bethpage, NY | Project Manager - New Orleans, LA | Banking Service Technician - Savannah, GA","Convergint is looking for a full-time, enthusiastic, results driven and forward-thinking Project Coordinator to join our amazing culture. In this role, you will provide administrative support to the local office (CTC). As a Project Coordinator, you are a part of a dynamic team that allows you to grow as Convergint grows. For information about how we use your personal information, please see our Co","consulting_professional_services","high"
"669","cube","ashby","19","Customer Data Lead | Business Development Representative | Senior Data Platform Manager | Senior Software Engineer | Application Engineer","CUBE are a global RegTech business defining and implementing the gold standard of regulatory intelligence for the financial services industry. We deliver our services through intuitive SaaS solutions, powered by AI, to simplify the complex and everchanging world of compliance for our clients. Why us? 🌍 CUBE is a globally recognized brand at the forefront of Regulatory Technology. Our industry-lead","tech_software_internet","high"
"670","cubic3","ashby","19","Senior Test Automation Engineer | Core Network Engineer II | Project Manager | DevOps Team Lead | Application Support Engineer","The Company Cubic³ provides advanced software-defined vehicle solutions to over 200 countries around the world. Our powerfully smart connectivity enables leading automotive, agriculture, and transportation OEMs to deliver innovative new services and fully compliant in-vehicle experiences that customers desire, regardless of local market requirements. We believe in leadership that supports empowerm","telecommunications","high"
"671","cybermediatechnologies","greenhouse","19","Advanced Law Enforcement Tactics Instructors | AI / Machine Learning Engineer | Business Analyst | Computer Programmer | Data Engineer","CTEC is a leading technology firm that provides modernization, digital transformation, and application development services to the U.S. Federal Government. Headquartered in McLean, VA, CTEC has over 300 team members working on mission-critical systems and projects for agencies such as the Department of Homeland Security, Internal Revenue Service, and the Office of Personnel Management. The work we","defense_aerospace","high"
"672","dal-tile-llc","linkedin","19","QUARTZ - PROCESS TECHNICIAN (NIGHTS - C SHIFT) | TILE - PRESS OPERATOR - C SHIFT | Material Handler | Warehouse Associate | STRATEGIC ACCOUNT MANAGER","Join the largest manufacturer of tile and natural stone in the United States and watch your career stand out with Dal-Tile, a subsidiary of Mohawk Industries. Our close-knit team of dedicated professionals has made us the success we are today. In exchange for their hard work, we support our people with a family-friendly work environment, a commitment to promoting from within, unique benefits that ","manufacturing","high"
"673","datasnipper.com","ashby","19","Senior Site Realiability Engineer | Business Development Representative - Japan | Account Executive | Account Manager | Solutions Engineer - Audit & Accounting","About the role We're hiring our second GTM Engineer in the Marketing team in Amsterdam, reporting to the Director of Demand Generation. A year ago, this function didn't exist at DataSnipper. Today our first GTM Engineer has built the foundation. Enrichment runs steadily. AI nurturing agents are live and lifting reply rates. Intent signals flow in from across the funnel. The function has reached a ","tech_software_internet","high"
"674","defense-finance-and-accounting-service","usajobs","19","FINANCIAL SPECIALIST | SUPERVISORY FINANCIAL SPECIALIST | IT CYBERSECURITY SPECIALIST (APPSW/INFOSEC) | ACCOUNTING TECHNICIAN (CERTIFIER) | FINANCIAL SYSTEMS ANALYST","Basic Requirement: This position has a positive education requirement. To qualify for this position you must meet one of the basic requirements described below: (1) Completion of all requirements for a bachelor's degree in accounting from an accredited college or university; or a degree in a related field such as business administration, finance, or public administration that included or was suppl","public_sector_government","high"
"675","dreamgames","lever","19","Concept Artist | Data Scientist | DevOps Engineer | Executive Assistant | Game Developer","We are looking for a passionate new grad to join our team as a Software Engineer. This is an exciting opportunity to contribute to all areas of game development, including programming graphics, game logic, and user interface using Unity. It is not required to have prior game development experience since we believe a competent software engineer can develop great things in any field. You will work e","gaming","high"
"676","endpointclinical","lever","19","AI Intern | Associate Production Support Analyst | Business Solutions Architect | Data Specialist | Data Tester","About Us: Endpoint is an interactive response technology (IRT®) systems and solutions provider that supports the life sciences industry. Since 2009, we have been working with a single vision in mind, to help sponsors and pharmaceutical companies achieve clinical trial success. Our solutions, realized through the proprietary PULSE® platform, have proven to maximize the supply chain, minimize operat","healthcare_pharma_biotech","high"
"677","equitable-advisors","linkedin","19","Financial Professional | Wealth Management Associate – Pathway to Management | Financial Advisor | Experienced Wealth Management Advisor | Financial Advisor & Consultant","With Equitable founded in 1859, Equitable Advisors is a leading firm in the financial services and insurance industry with a mission to help people build fulfilling futures grounded in our stability, innovative solutions and commitments to our clients. Equitable Advisors is seeking entrepreneurial-oriented individuals to join our team as a Financial Professional. In that role, you will:· Analyze f","finance_insurance","high"
"678","equity-lifestyle-properties-inc","linkedin","19","Maintenance - Level I | Membership Specialist - Indian Lakes | Ranger | Account Executive | Marina Dockhand","With a culture of recognition and reputation for excellence, ELS is the ideal organization in which to develop a long and successful career! ELS is hiring for the position of Membership Specialist in Cloverdale, Oregon. What You'll Do The Membership Specialist role is a unique opportunity to promote and sell memberships in the thriving industry of camping. The Membership Specialist is responsible ","real_estate_construction","high"
"679","fidelityguarantylife","greenhouse","19","Actuary, Model Validation | Associate Data Engineer | AVP, Annuity Product Development & Strategy | AVP, ORM & Onboarding | Business Systems Analyst","Job Summary The AVP, Operations Relationship Management &amp; Onboarding is responsible for developing and leading a team that cultivates, enhances, and successfully maintains strategic multi-channel distributor &amp; agency relationships for F&amp;G’s expanding distribution footprint. This role strengthens the service experience for key distribution firms and advisors by improving service resolut","finance_insurance","high"
"680","fitt","ashby","19","Head of B2B Partnerships | Customer Success Manager | Director of Retention and Lifecycle | Head of Marketing | VP of Growth Marketing","Fitt Talent Partners is a specialized recruitment firm working with top health and wellness companies. We’re filling this role for a fast-growing consumer brand redefining how people access and experience energy. The Opportunity This is an early, high-impact hire within a fast-moving team. You’ll have the opportunity to shape how the brand shows up across every touchpoint, building a cohesive and ","tech_software_internet","low"
"681","flaglerhealth","ashby","19","Medical Assistant (“Care Counselor”) | LPN / LVN - Remote Nurse (FT) | Software Engineer - Frontend (Vancouver) | Software Engineer - Frontend (NYC) | Head of Marketing","Flagler Health is building the clinical operating system for modern musculoskeletal care. We partner with MSK provider groups and specialty clinics to help them grow, operate more efficiently, and deliver better longitudinal care across patient acquisition, clinical workflows, and ongoing patient engagement. Our platform sits at the intersection of care delivery and clinic operations, helping prov","healthcare_provider","high"
"682","flatironhealth","greenhouse","19","Committee Member, Flatiron Health UK Research Oversight Committee (Contractor) | Communications & Events Associate | Communications & Events Associate (m/f/d) | Forward Deployed Software Engineer | Health and Wellness Benefits Manager (12 months Fixed Term)","We’re looking for a Software Engineer to help us accomplish our mission to improve and extend lives by learning from the experience of every person with cancer. Are you ready to be the next changemaker in cancer care? Flatiron Health is a healthtech company using data for good to power smarter care for every person with cancer, around the world. Flatiron partners with cancer centers in the US, Eur","healthcare_pharma_biotech","high"
"683","forgehealth","greenhouse","19","Clinic Director | IOP Clinician (LCMHC, LICSW, LMFT, Pre License) | Licensed Clinical Social Worker (LCSW) | Licensed Therapist | Medical Director","About us: Forge Health is a mission-driven outpatient mental health and substance use provider dedicated to providing the highest quality, affordable, and effective care to individuals, families, and communities in need. As the first and only behavioral healthcare provider with a proven, national payer-validated ability to drive clinical outcomes that span all areas of health, Forge Health is lead","healthcare_provider","high"
"684","formativgroup","greenhouse","19","Aladdin Technical Consultant | AXIS Modeling Actuary – Universal Life | Business Development Executive – Data & Analytics Solutions | Cloud Solution Architect | Collibra Data Governance Specialist","Summary The role of the experienced&nbsp;Cloud Solutions Architect&nbsp;to design, lead, and deliver secure, scalable, and cost-effective cloud solutions. This role partners closely with business stakeholders, engineering teams, and leadership to define cloud architectures that support application modernization, data platforms, and enterprise integrations across&nbsp;AWS, Azure, and/or GCP.&nbsp; ","consulting_professional_services","high"
"685","genetixbiotherapeutics","greenhouse","19","Director, Apheresis Operations | Director of Scientific Communications & Evidence Generation | Director, Regulatory Labeling and Advertising Promotion | Head of Product/Portfolio Management | Lead Specialist, QA Operations Lot Disposition","&nbsp; About Genetix Biotherapeutics At Genetix Biotherapeutics every role has meaning, every team member is respected, and every day is a chance to make a difference. When you join Genetix, you're not just landing a new role, you become part of a company that's pursuing curative gene therapies to give patients and their families more days. We are doers, thinkers and collaborators who embrace and ","healthcare_pharma_biotech","high"
"686","global-technical-talent-an-inc-5000-company","linkedin","19","Senior Business Systems Analyst | Senior Manager, LATAM and ROW Content Program | Junior Scrum Master | O&M Chiller Lead | Customer Service Representative","O&M Chiller Lead (3rd Shift) Contract Duration 6 Months Job Summary: The Facility Operations Lead is part of BOSK’s newly constructed electric vehicle battery manufacturing plant. This is a performance-based, 12-year, O&M contract providing hard services of MEP equipment within the facility, excluding the manufacturing and production equipment. The objective is to maintain a seamless environment b","consulting_professional_services","high"
"687","gm-financial","linkedin","19","VP Global Security Operations | Commercial Vehicle Account Manager (Nashville/Louisville) | Commercial Vehicle Account Manager (PA/NY) | Insurance Sales/Service Representative- Bilingual | Commercial Vehicle Account Manager (Cincinnati/Columbus)","Overview Why GM Financial Dealer Services Systems Integration? The GM Financial Dealer Services Systems Integration (DSSI) team offers several benefits and exciting reasons to join our team! Does working on exciting projects spark your interest? If so, as a DSSI team member, you will have the opportunity to work on cutting-edge technology and contribute to impactful projects. The DSSI team plays a","finance_banking","high"
